kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
matmul;neon;1;16;;0.022;0.025;0.0228;4096833;2689281;715801;18115;378674;26689
matmul;omp;2;16;;0.020;0.021;0.0203667;3116437;1542840;503985;16005;190722;23956
matmul;hybrid;2;16;;0.015;0.017;0.016;3099674;1520337;499312;15798;186748;23632
matmul;omp;3;16;;0.020;0.022;0.0213;3649509;2103089;614044;17588;281014;26023
matmul;hybrid;3;16;;0.018;0.019;0.0185667;3643921;2102767;612268;17618;280874;25812
matmul;omp;4;16;;0.020;0.021;0.0208333;4426420;2944649;771909;19730;417686;28791
matmul;hybrid;4;16;;0.018;0.020;0.0188333;4369830;2843920;754585;19735;400560;28569
matmul;seq;1;24;;0.071;0.073;0.0717;4440617;3154228;807057;18304;455783;27354
matmul;neon;1;24;;0.049;0.051;0.0496;4349679;2971779;773932;18383;424157;26851
matmul;omp;2;24;;0.047;0.049;0.0477667;3263506;1661445;538829;16359;208008;24376
matmul;hybrid;2;24;;0.034;0.162;0.0392667;3270546;1674865;536959;16288;210111;23703
matmul;omp;3;24;;0.036;0.063;0.0382;3833866;2236427;651982;18358;300472;26815
matmul;hybrid;3;24;;0.028;0.030;0.0288667;3755248;2182945;636942;17804;292187;25924
matmul;omp;4;24;;0.031;0.034;0.0327667;4485134;2960616;787331;20112;418599;29262
matmul;hybrid;4;24;;0.026;0.103;0.0317;4533342;3012947;792667;20271;427148;28727
matmul;seq;1;32;;0.150;0.287;0.156033;5061219;3948425;967806;18398;585978;28119
matmul;neon;1;32;;0.096;0.123;0.0988;5299182;4281700;1012723;18459;639654;26967
matmul;omp;2;32;;0.088;0.114;0.0898667;3452122;1853241;593982;16282;237640;24982
matmul;hybrid;2;32;;0.058;0.060;0.0589333;3382558;1720532;563843;16205;214688;24015
matmul;omp;3;32;;0.064;0.067;0.0657333;4056700;2529837;723466;18125;347712;27262
matmul;hybrid;3;32;;0.046;0.145;0.0511667;3982993;2373623;688438;18110;320862;26305
matmul;omp;4;32;;0.052;0.056;0.0539;4796765;3343621;875085;20100;480201;29694
matmul;hybrid;4;32;;0.038;0.162;0.0434;4711453;3163845;836792;20165;449080;28835
matmul;seq;1;48;;0.474;0.561;0.4813;7188918;6751301;1535110;19333;1048257;30280
matmul;neon;1;48;;0.299;0.473;0.307367;6209804;5215313;1243211;19301;786650;30050
matmul;omp;2;48;;0.258;0.273;0.260133;4173728;2603026;815632;16784;355210;27026
matmul;hybrid;2;48;;0.164;0.172;0.165367;3894807;2081300;694980;17078;265132;26871
matmul;omp;3;48;;0.183;0.289;0.192367;4890404;3348281;959024;19343;475435;29531
matmul;hybrid;3;48;;0.120;0.272;0.133967;4582578;2873346;845422;18892;394134;29269
matmul;omp;4;48;;0.147;0.680;0.1725;5786023;4414962;1154350;21295;650236;32150
matmul;hybrid;4;48;;0.100;0.207;0.108467;5450961;3791129;1018460;21322;543099;32306
matmul;seq;1;64;;1.093;1.366;1.1233;9218151;9270498;2133185;21249;1461843;32925
matmul;neon;1;64;;0.671;0.829;0.682767;8629308;8154884;1865734;20979;1263100;32778
matmul;omp;2;64;;0.575;0.643;0.587567;5339091;3819807;1191742;18296;547465;29331
matmul;hybrid;2;64;;0.354;0.487;0.366033;4745229;2689607;926930;18597;351077;29245
matmul;omp;3;64;;0.392;0.447;0.4023;6092789;4660441;1347181;20546;684737;31716
matmul;hybrid;3;64;;0.248;0.395;0.268533;5512566;3577703;1094182;20530;495853;31707
matmul;omp;4;64;;0.308;0.496;0.3277;7225377;5972684;1588424;22966;899461;34862
matmul;hybrid;4;64;;0.199;0.407;0.224733;6539898;4693062;1302818;23192;677774;35045
matmul;seq;1;96;;3.620;3.812;3.6706;13292121;13493739;3537367;29932;2147537;40066
matmul;neon;1;96;;2.188;2.387;2.2214;11364068;9781154;2652134;30062;1487536;40034
matmul;omp;2;96;;1.894;2.016;1.93;9794349;8501598;2664527;27863;1296896;36917
matmul;hybrid;2;96;;1.148;1.284;1.16953;7781047;4764256;1785881;27116;643670;36545
matmul;omp;3;96;;1.293;1.469;1.33477;10971143;9934116;2927183;29194;1531581;39995
